"Date","Lender","Industry","Street","Zip"
2012-01-10,"Accion","Retail Stores","21st",60608
2012-01-10,"Accion","Medical Services","Patterson",60634
2012-04-10,"Accion","Day Care","Lincoln",60613
2012-10-20,"Accion","Professional/Off Svc","Douglas",60623
2012-10-20,"Accion","Professional/Off Svc","Michigan",60615
2012-11-10,"Accion","Professional/Off Svc","71st",60649
2012-11-10,"Accion","Wholesale","Campbell",60618
2012-11-10,"Accion","Clothing/Material Production","Damen",60647
2012-11-10,"Accion","Clothing/Material Production","Clark",60616
2012-11-10,"Accion","Food/Beverage","Eugenie",60614
2012-11-10,"Accion","Clothing/Material Production","Canal",60609
2012-11-20,"Accion","Beauty/Salon Services","63rd",60636
2012-12-04,"CNI","Food/Beverage","Cornell",60649
2012-12-04,"CNI","Retail Sales - Other","87th",60620
2012-12-10,"Accion","Medical Services","75th",60619
2012-12-10,"Accion","Other Services","Damen",60622
2012-12-10,"Accion","Retail Stores","Lincoln",60657
2012-12-10,"Accion","Retail Sales - Other","Racine",60620
2012-12-17,"Accion","Food/Beverage","Broadway",60640
2012-12-20,"Accion","Food/Beverage","75th",60619
2012-12-20,"Accion","Arts/Crafts Production","Paulina",60622
2013-01-10,"CNI","Retail Sales - Other","Harper",60615
2013-01-11,"CNI","Transportation","Langley",60628
2013-02-20,"Accion","Food/Beverage","Michigan",60611
2013-02-27,"Accion","Food/Beverage","18th",60608
2013-02-28,"CNI","Construction/Repair","May",60643
2013-02-28,"Accion","Professional/Off Svc","Bell",60643
2013-03-11,"Accion","Arts/Crafts Production","Seeley",60618
2013-03-15,"CNI","Retail Sales - Other","79th",60619
2013-03-18,"Accion","Beauty/Salon Services","63rd",60636
2013-03-19,"Accion","Other Services","Narragansett",60634
2013-03-20,"Accion","Beauty/Salon Services","59th",60629
2013-03-21,"Accion","Medical Services","Toughy",60645
2013-03-29,"Accion","Food/Beverage","Menard",60639
2013-03-29,"Accion","Food/Beverage","79th",60620
2013-04-01,"Accion","Other Services","Jackson",60604
2013-04-05,"Accion","Other Services","Wacker",60606
2013-04-15,"CNI","Professional/Off Svc","87th",60619
2013-04-17,"Accion","Other Services","Troop",60608
2013-04-19,"WBDC","Beauty/Salon Services","Van Buren",60607
2013-04-22,"CNI","Professional/Off Svc","King",60628
2013-04-24,"Accion","Other Services","Drake",60618
2013-04-24,"Accion","Retail Sales - Other","Wabash",60605
2013-04-24,"Accion","Other Services","Central",60618
2013-04-26,"Accion","Food/Beverage","111th",60643
2013-04-26,"Accion","Wholesale","Seminary",60614
2013-04-27,"Accion","Day Care","Anthony",60617
2013-04-29,"Accion","Professional/Off Svc","St. Paul",60614
2013-04-30,"Accion","Day Care","Western",60645
2013-05-02,"CNI","Professional/Off Svc","Washington",60602
2013-05-06,"Accion","Food/Beverage","Chicago",60642
2013-05-07,"Accion","Beauty/Salon Services","Halsted",60620
2013-05-09,"Accion","Construction/Repair","Kolin",60629
2013-05-10,"Accion","Beauty/Salon Services","47th",60653
2013-05-13,"Accion","Food/Beverage","Pulaski",60624
2013-05-18,"Accion","Food/Beverage","Kedzie",60632
2013-05-20,"Accion","Clothing/Material Production","Milwaukee",60642
2013-05-23,"Accion","Professional/Off Svc","Chicago",60651
2013-05-25,"CNI","Construction/Repair","St Lawrence",60653
2013-05-25,"CNI","Retail Sales - Other","Division",60647
2013-05-29,"Accion","Wholesale","Victoria",60660
2013-05-30,"CNI","Education","Forestville",60615
2013-05-30,"CNI","Transportation","87th",60652
2013-05-30,"CNI","Other Services","61st",60637
2013-05-30,"CNI","Transportation","Polk",60605
2013-05-31,"Accion","Medical Services","Lincoln",60618
2013-05-31,"Accion","Other Services","84th",60652
2013-06-10,"WBDC","Professional/Off Svc","Ashland",60622
2013-06-12,"WBDC","Other Services","Sacramento",60612
2013-06-14,"Accion","Other Services","Chicago",60622
2013-06-25,"WBDC","Retail Sales - Other","18th",60616
2013-06-26,"WBDC","Retail Sales - Other","Foster",60625
2013-06-28,"Accion","Medical Services","Austin",60644
2013-07-03,"CNI","Construction/Repair","76th",60652
2013-07-10,"Accion","Professional/Off Svc","Clyde",60649
2013-07-15,"WBDC","Construction/Repair","18th",60616
2013-07-16,"Accion","Food/Beverage","Milwaukee",60647
2013-07-23,"WBDC","Day Care","Devon",60646
2013-07-29,"Accion","Beauty/Salon Services","76th",60619
2013-08-05,"CNI","Other Services","Washington",60607
2013-08-05,"CNI","Other Services","Washington",60607
2013-08-05,"CNI","Construction/Repair","Washington",60607
2013-08-08,"WBDC","Retail Sales - Other","Western",60612
2013-08-16,"CNI","Other Services","79th",60649
